,date_updated,type,og_nr,wc_nr,total_area_(hectare),field_organic_status
8371,2017-06-28,og,6083.0,,2.5,Con
8384,2017-06-28,og,6084.0,,5.65,Con
8393,2017-06-28,og,6085.0,,9.53,Org
8395,2017-06-28,og,6086.0,,9.48,Org
8408,2017-06-28,og,6087.0,,8.05,Org
8411,2017-06-28,og,6088.0,,11.11,Con
8428,2017-06-28,og,6089.0,,3.65,Org
8434,2017-06-28,og,6090.0,,0.0,Con
8438,2017-06-29,og,6091.0,,5.16,Con
8446,2017-06-29,og,6092.0,,3.94,Con
8454,2017-06-29,og,6093.0,,9.66,Org
8470,2017-06-29,og,6094.0,,8.79,Con
8474,2017-06-29,og,6095.0,,3.95,Con
8281,2017-06-30,og,6096.0,,0.0,
8488,2017-06-30,og,6097.0,,0.0,Org
8499,2017-06-30,og,6098.0,,0.0,Con
8508,2017-06-28,og,6099.0,,0.0,Con
8512,2017-06-27,og,6100.0,,0.13,Org
7845,2018-11-07,og,10001.0,,31.09,Org
7309,2018-11-07,og,10002.0,,19.28,Con
7848,2017-06-27,og,10401.0,,7.55,Con
7850,2017-06-29,og,10406.0,,4.636,Con
7322,2016-09-07,og,10411.0,,3.9,Org
7401,2016-10-05,og,10411.0,,0.11,Con
7325,2017-06-29,og,10412.0,,6.7,Con
7336,2017-06-27,og,10417.0,,7.82,Con
7860,2018-10-16,og,10422.0,,12.1,Org
7342,2018-10-17,og,10424.0,,5.4,Con
7757,2017-06-27,og,10424.0,,1.4,Org
7863,2017-06-29,og,10431.0,,6.74,Con
7349,2018-10-17,og,10434.0,,7.85,Org
7870,2016-10-05,og,10450.0,,0.11,Org
7354,2016-09-09,og,10450.0,,4.8,Org
7358,2018-10-17,og,10455.0,,3.75,Org
8058,2017-06-27,og,10455.0,,0.25,Org
7874,2018-10-18,og,10455.0,,0.65,Org
7363,2016-05-14,og,10456.0,,1.9000000000000001,Con
7367,2015-10-18,og,10456.0,,5.7,Con
7875,2016-09-09,og,10457.0,,0.75,Org
7374,2018-10-17,og,10458.0,,8.66,Con
7879,2016-09-09,og,10464.0,,6.05,Org
7881,2016-10-05,og,10464.0,,0.04,Org
7887,2018-10-18,og,10470.0,,5.3,Org
8157,2017-06-27,og,10470.0,,0.5,Org
7383,2018-10-18,og,10482.0,,6.03,Con
7391,2018-10-17,og,10489.0,,9.23,Con
7769,2018-10-18,og,10491.0,,8.9,Org
7402,2017-06-27,og,10495.0,,6.8,Con
7404,2017-06-27,og,10496.0,,8.1,Con
7407,2018-10-17,og,11543.0,,3.5999999999999996,Con
7903,2017-06-27,og,11543.0,,1.3699999999999999,Org
7904,2016-10-04,og,11545.0,,0.07,Con
7414,2016-09-10,og,11545.0,,4.0,Org
7774,2018-10-18,og,11546.0,,4.4,Org
7909,2017-06-26,og,11547.0,,1.5,Con
7418,2018-10-18,og,11547.0,,3.3,Con
7420,2018-10-18,og,11548.0,,6.0,Org
7915,2018-10-18,og,11549.0,,0.23,Org
8059,2017-06-27,og,11549.0,,9.5,Org
7431,2018-10-18,og,11550.0,,8.6,Org
7778,2017-06-27,og,11550.0,,0.24000000000000002,Org
7919,2017-06-28,og,11551.0,,0.045,Org
7432,2018-10-18,og,11551.0,,8.4,Con
7438,2018-10-19,og,11552.0,,5.9,Con
8039,2017-06-27,og,11552.0,,1.2,Org
7440,2018-10-17,og,11554.0,,6.5600000000000005,Con
5862,2021-05-05,og,11601.0,,2.8000000000000003,Con
5865,2021-05-05,og,11602.0,,1.0,Mabagrown
5225,2021-05-06,og,11610.0,,1.6,Mabagrown
4368,2021-05-05,og,11619.0,,1.6,Con
4575,2021-05-04,og,11625.0,,1.5999999999999999,Con
4390,2021-05-03,og,11629.0,,1.6,Mabagrown
4109,2021-05-12,og,11635.0,,1.5,Con
4588,2021-05-08,og,11657.0,,1.0,Con
4591,2021-05-08,og,11658.0,,1.2000000000000002,Con
4584,2021-05-08,og,11659.0,,2.4,Con
5373,2021-05-10,og,11660.0,,2.0,Con
5386,2021-05-03,og,11661.0,,1.4,Con
5987,2021-05-09,og,11663.0,,1.6,Con
8161,2018-11-07,og,11664.0,,13.3,Con
5854,2021-05-05,og,11665.0,,1.6,Con
7451,2018-11-08,og,12228.0,,6.2,Con
7928,2018-10-18,og,12229.0,,3.0,Org
7455,2018-10-17,og,12229.0,,15.5,Con
8061,2017-06-27,og,12229.0,,2.0,Org
7460,2018-10-17,og,12230.0,,9.879999999999999,Con
7935,2018-10-18,og,12232.0,,4.7700000000000005,Org
7474,2016-09-10,og,12236.0,,12.6,Con
7939,2016-10-05,og,12236.0,,0.12000000000000001,Org
7940,2017-06-28,og,12238.0,,5.24,Org
